ID,SalePrice,Garage,Overall Qual,Gr Liv Area,Total Bsmt SF,Lot Area,Year Built,Full Bath,Bedroom AbvGr,Neighborhood,House Style
98,149500,yes,7,1200,600,2544,2004,2,2,Somerst,2Story
99,152000,yes,6,1236,600,2544,2005,2,2,Somerst,2Story
100,222000,yes,7,1478,1470,4403,2009,2,2,Somerst,1Story
101,177500,yes,6,1573,756,2117,2000,2,3,Somerst,2Story
102,177000,yes,6,1512,756,2980,2000,2,2,Somerst,2Story
103,155000,yes,7,1416,696,2572,1999,2,3,Somerst,2Story
104,147110,yes,7,1080,530,2403,2003,2,2,Somerst,2Story
105,267916,yes,8,1418,1642,12853,2010,1,1,Somerst,1Story
106,254000,yes,8,1848,975,7379,2000,2,3,Somerst,2Story
107,155000,yes,8,788,728,4420,1980,1,1,Greens,1Story
108,206000,yes,8,1226,1226,3880,1978,1,1,Greens,1Story
109,130500,yes,6,1479,725,13517,1976,2,3,Sawyer,2Story
110,230000,yes,7,1492,1492,8000,2002,2,3,Somerst,1Story
111,218500,yes,6,1829,1829,10456,1967,2,4,NWAmes,1Story
112,243500,yes,6,2495,1280,10791,1993,2,4,NWAmes,2Story
113,205000,yes,6,1610,1610,10603,1977,2,3,NWAmes,1Story
114,212500,yes,6,1891,1224,18837,1978,3,3,NWAmes,1.5Fin
115,196500,yes,7,1714,980,10421,1988,2,3,NWAmes,2Story
116,197500,yes,6,1381,1161,9360,1972,1,3,NWAmes,1Story
117,171000,yes,6,1645,715,9600,1971,1,4,NWAmes,2Story
118,142250,yes,5,1232,1232,9600,1966,1,3,NAmes,1Story
119,143000,yes,6,1328,1328,9790,1963,1,3,NWAmes,1Story
120,128950,no,4,1225,950,9320,1959,1,3,NAmes,1Story
121,159000,yes,5,1209,1209,9900,1966,1,3,NAmes,1Story
122,178900,yes,5,1510,1510,9680,1967,2,3,NAmes,1Story
123,136300,yes,6,1775,533,10600,1964,2,3,NAmes,SLvl
124,180500,yes,5,1152,1152,14112,1964,1,3,NAmes,SLvl
125,137500,yes,6,1054,936,8800,1963,1,3,NAmes,SFoyer
126,84900,no,5,1728,1728,13260,1962,2,6,NAmes,1Story
127,142125,yes,5,1078,1078,9717,1950,1,2,NAmes,1Story
128,197600,yes,5,2461,1140,9724,1952,2,3,NAmes,1.5Fin
129,172500,yes,6,1556,782,17360,1949,2,3,NAmes,1.5Fin
130,116500,no,5,858,858,7207,1958,1,2,BrkSide,1Story
131,76500,no,3,1306,728,5350,1940,1,3,BrkSide,1Story
132,128000,yes,5,1063,1056,9920,1954,1,3,NAmes,1Story
133,153000,yes,6,1520,1156,9600,1955,1,3,NAmes,SLvl
134,132000,yes,5,1268,1268,7800,1954,1,2,NAmes,1Story
135,178000,yes,6,1128,1080,11380,1966,1,2,NAmes,SFoyer
136,154300,yes,5,2274,1105,11600,1960,2,5,NAmes,2Story
137,180000,yes,7,2207,1947,19900,1970,2,3,NAmes,1Story
138,190000,yes,6,1888,1517,16492,1966,2,2,NAmes,1Story
139,135000,yes,5,1604,1604,8267,1958,2,4,NAmes,1Story
140,214000,yes,7,1480,1480,8197,2003,2,3,NAmes,1Story
141,136000,yes,5,1143,1143,8050,1959,1,3,NAmes,1Story
142,165500,yes,5,1700,1398,10552,1959,1,4,NAmes,1Story
143,145000,yes,5,1314,1314,8400,1957,1,3,NAmes,1Story
144,148000,yes,6,1194,1194,8760,1959,1,3,NAmes,1Story
145,142000,yes,5,1188,1188,12160,1959,1,3,NAmes,1Story
146,167500,yes,5,1264,1268,9300,1960,1,3,NAmes,1Story
147,108538,yes,5,1206,1206,10725,1959,1,3,NAmes,1Story
148,159500,yes,6,1580,1244,10032,1959,1,3,NAmes,1Story
149,108000,yes,4,1337,832,8382,1956,1,3,NAmes,1.5Fin
150,135000,yes,5,1064,864,10950,1952,1,2,NAmes,1Story
151,122500,yes,5,972,972,10895,1955,1,3,NAmes,1Story
152,119000,yes,5,988,988,13587,1958,1,2,NAmes,1Story
153,109000,yes,5,1057,1057,7922,1953,1,3,NAmes,1Story
154,105000,yes,4,985,576,7898,1920,1,2,NAmes,1Story
155,107500,yes,5,827,0,7200,1955,1,2,NAmes,1Story
156,144900,yes,5,1086,1086,10200,1954,1,3,NAmes,1Story
157,129000,yes,5,936,936,5868,1956,1,2,NAmes,1Story
158,97500,yes,6,1458,912,17503,1948,1,3,NAmes,1.5Fin
159,144000,yes,6,1056,1056,6979,1980,0,0,OldTown,SFoyer
160,162000,yes,5,1287,1063,9830,1959,1,3,NAmes,1Story
161,242000,yes,7,2978,710,11275,1967,2,5,NAmes,SLvl
162,132000,yes,6,1224,816,8064,1948,1,3,NAmes,1.5Fin
163,154000,yes,5,1246,1246,7500,1959,1,3,NAmes,1Story
164,166000,yes,5,1385,910,8520,1952,2,4,NAmes,1.5Fin
165,134800,yes,5,900,900,7200,1951,1,3,NAmes,1Story
166,160000,yes,6,1116,1116,10000,1962,1,3,NAmes,1Story
167,148000,yes,5,1175,1175,7635,1960,1,3,NAmes,1Story
168,192000,yes,6,1395,1395,9760,1963,1,2,NAmes,1Story
169,155000,yes,6,1839,756,7700,1966,1,4,NAmes,2Story
170,80400,yes,4,1844,709,4800,1900,1,3,OldTown,1.5Fin
171,96500,no,4,1140,576,8800,1910,1,3,OldTown,1.5Fin
172,109500,no,5,936,936,4485,1920,1,2,OldTown,1Story
173,115000,yes,5,1028,1008,8960,1927,1,2,OldTown,1Story
174,143000,yes,5,1347,1347,5805,1957,1,3,OldTown,1Story
175,107400,yes,3,1605,840,5790,1915,2,3,OldTown,2Story
176,80000,yes,4,747,747,4608,1945,1,2,OldTown,1Story
177,119000,yes,5,804,788,7200,1940,1,2,OldTown,1Story
178,130000,yes,5,1316,926,5500,1929,1,3,OldTown,1.5Fin
179,119000,yes,6,1251,827,6900,1938,1,3,OldTown,1.5Fin
180,129000,yes,5,1633,1027,11851,1948,1,3,OldTown,1.5Fin
181,100000,yes,5,1245,1008,8239,1920,1,3,OldTown,1.5Fin
182,12789,yes,2,832,678,9656,1923,1,2,OldTown,1Story
183,105900,yes,6,720,624,8520,1928,1,2,OldTown,1Story
184,150000,yes,8,1566,930,9600,1900,2,3,OldTown,2Story
185,139000,yes,5,1652,686,10800,1915,2,4,OldTown,1.5Fin
186,240000,yes,8,2268,346,9000,1890,3,3,OldTown,2Story
187,76500,no,5,2256,840,9045,1910,2,4,OldTown,2Story
188,149700,yes,6,1236,912,7407,1957,1,2,OldTown,1Story
189,125500,yes,4,1363,622,7740,1910,1,3,OldTown,2Story
190,122500,yes,4,2290,777,11340,1885,2,4,OldTown,2Story
191,140750,yes,6,1470,738,10560,1922,1,2,OldTown,2Story
192,128500,yes,5,1612,988,5830,1950,1,3,BrkSide,1.5Fin
193,209500,yes,7,2068,1108,7793,1922,1,3,BrkSide,2.5Unf
194,87000,yes,4,765,765,5000,1925,1,2,BrkSide,1Story
195,134000,yes,6,1132,608,6000,1939,1,2,BrkSide,1.5Fin
196,128000,yes,6,1196,572,6000,1940,1,3,BrkSide,1.5Fin
197,132000,yes,5,1453,835,6360,1942,1,3,BrkSide,1.5Fin
198,139900,yes,6,1416,780,6000,1948,1,3,BrkSide,1.5Fin
199,123900,yes,5,1040,528,6240,1936,1,2,BrkSide,1.5Fin
200,138400,yes,5,1536,928,6240,1930,2,4,BrkSide,1.5Fin
201,109500,yes,6,1068,1124,6120,1923,1,2,OldTown,1Story
202,140000,yes,7,1710,576,10300,1921,2,3,OldTown,2Story
203,149500,yes,4,1962,888,8094,1915,1,4,OldTown,1.5Fin
204,159900,no,6,1560,780,12900,1912,1,3,OldTown,2Story
205,122000,yes,6,1324,662,3068,1920,1,3,OldTown,2Story
206,110000,yes,5,816,816,8472,1963,1,2,IDOTRR,1Story
207,55000,no,4,1092,0,5600,1930,2,3,IDOTRR,2Story
208,140000,yes,5,1812,360,7630,1900,2,4,OldTown,2Story
209,244400,yes,7,2403,1032,24090,1940,2,4,ClearCr,2Story
210,173000,yes,5,1675,1422,15263,1959,2,3,ClearCr,1Story
211,107500,yes,5,1224,689,10632,1917,1,3,ClearCr,1.5Fin
212,100000,no,5,1392,1212,9900,1915,1,3,SWISU,1.5Fin
213,95000,yes,6,919,600,6001,1940,1,3,SWISU,1.5Fin
214,93369,no,4,1884,707,6449,1907,1,4,SWISU,2Story
215,114900,yes,5,1680,856,6048,1910,2,2,SWISU,1.5Fin
216,94000,no,5,1020,780,6342,1875,1,2,Sawyer,1.5Fin
217,136000,no,4,1832,1832,10773,1967,2,4,Sawyer,1Story
218,136500,no,4,1768,1768,10778,1968,2,4,Sawyer,1Story
219,131500,yes,5,1039,1039,11625,1965,1,3,Sawyer,1Story
220,121500,yes,5,1392,1392,11341,1957,1,3,Sawyer,1Story
221,125000,yes,5,912,912,8521,1967,1,3,Sawyer,1Story
222,154000,yes,5,1060,1060,8246,1968,1,3,Sawyer,1Story
223,137900,yes,5,892,864,7800,1966,1,3,Sawyer,1Story
224,158000,yes,6,1352,663,9364,1969,1,4,Sawyer,2Story
225,137250,yes,5,864,864,7832,1968,1,2,Sawyer,1Story
226,160250,yes,5,1373,1319,7424,1978,1,3,Sawyer,SFoyer
227,163000,yes,5,1440,720,11227,1968,1,4,Sawyer,2Story
228,158900,yes,6,1386,672,11616,1978,2,3,Sawyer,2Story
229,328000,yes,7,2260,1306,14000,1996,2,3,ClearCr,2Story
230,270000,yes,7,1483,1420,20062,1977,1,1,ClearCr,1Story
231,85000,yes,4,756,660,9259,1927,1,2,Sawyer,1Story
232,128000,yes,4,1067,1067,9600,1950,2,2,Sawyer,1Story
233,260000,yes,7,1524,1332,23595,1979,0,0,ClearCr,1Story
234,230000,yes,6,1981,1117,17082,1978,2,4,ClearCr,2Story
235,124000,yes,3,1610,972,18600,1938,2,4,Edwards,1.5Fin
236,83000,yes,5,835,458,10625,1920,1,2,Edwards,1Story
237,144500,yes,6,1074,663,11479,1950,1,3,Edwards,1Story
238,129000,yes,5,1144,1144,9571,1956,1,3,Edwards,1Story
239,127000,yes,4,1531,756,9350,1947,1,3,Edwards,1.5Fin
240,128000,yes,5,1172,1172,9525,1954,1,3,Edwards,1Story
241,186000,yes,6,1212,1212,10420,2009,2,3,Edwards,1Story
242,308030,yes,7,1508,1508,17485,2009,1,1,Edwards,1Story
243,114000,yes,5,1298,1250,11200,1964,2,3,Edwards,1Story
244,84900,yes,4,930,0,11100,1946,1,2,Edwards,1Story
245,178000,yes,6,1732,741,9206,1985,2,3,SawyerW,2Story
246,270000,yes,7,1433,1433,11980,1987,1,1,SawyerW,1Story
247,218000,yes,6,1802,946,12361,1993,2,3,SawyerW,2Story
248,236000,yes,7,1949,1050,9938,1993,2,3,SawyerW,2Story
249,147000,yes,6,996,936,9069,1992,1,2,SawyerW,SFoyer
250,245350,yes,8,1694,1694,10475,2008,2,3,CollgCr,1Story
251,206000,yes,7,1208,1187,6762,2006,2,2,CollgCr,1Story
252,198900,yes,7,1226,1226,10402,2009,2,3,CollgCr,1Story
253,187000,yes,7,1222,1222,7360,2010,2,2,CollgCr,1Story
254,320000,yes,7,3222,1673,12376,1990,3,5,SawyerW,2Story
255,138500,yes,6,1445,676,14235,1900,2,3,SawyerW,1.5Fin
256,155000,yes,6,1052,1010,8816,1971,1,3,ClearCr,SLvl
257,159000,yes,5,965,870,11105,1996,1,2,CollgCr,SFoyer
258,191000,yes,7,1692,878,9337,1997,2,3,CollgCr,2Story
259,200500,yes,6,1682,804,8750,1998,2,3,CollgCr,2Story
260,150000,yes,5,1026,1026,15240,1977,1,3,CollgCr,1Story
261,161750,yes,6,1392,689,10900,1977,1,3,CollgCr,2Story
262,128200,yes,5,894,894,10650,1976,1,3,CollgCr,1Story
263,127000,yes,5,876,876,7480,1972,1,3,CollgCr,1Story
264,318000,yes,8,1978,1978,10389,2003,2,3,CollgCr,1Story
265,272000,yes,8,1601,1581,11423,2001,2,3,CollgCr,1Story
266,237000,yes,7,1829,941,9548,2003,2,3,CollgCr,2Story
267,240000,yes,7,2098,1040,9375,1997,2,4,CollgCr,2Story
268,224900,yes,7,1661,1649,12137,1998,2,3,CollgCr,1Story
269,143750,yes,6,848,848,4435,2003,1,1,CollgCr,1Story
270,143000,yes,6,848,848,4426,2004,1,1,CollgCr,1Story
271,232000,yes,8,1668,1657,10635,2003,2,3,CollgCr,1Story
272,213000,yes,7,1484,1473,8400,2004,2,3,CollgCr,1Story
273,185500,yes,7,1414,1414,8773,2004,2,3,CollgCr,1Story
274,84900,yes,3,640,0,8777,1945,1,2,Edwards,1Story
275,155891,yes,5,992,381,8842,1954,1,3,Edwards,1Story
276,100000,no,5,1664,0,9825,1965,2,4,Edwards,1Story
277,144000,yes,5,1196,1196,10044,1968,1,3,Edwards,1Story
278,64000,yes,4,1120,744,11792,1948,1,2,Edwards,1.5Fin
279,125200,yes,6,1096,1008,6305,1975,1,3,Edwards,SLvl
280,107000,yes,6,1117,1029,7819,1976,1,3,Edwards,SLvl
281,90000,no,4,960,960,6410,1958,1,3,Edwards,1Story
282,140000,yes,4,1121,1121,8546,2003,2,2,Edwards,1Story
283,113000,yes,6,1487,735,8741,1945,1,3,Edwards,1.5Fin
284,80000,yes,4,924,672,12180,1941,1,2,Edwards,1.5Fin
285,144500,yes,5,1526,1216,8562,1957,1,4,Edwards,1Story
286,104000,yes,5,1296,1107,4853,1924,2,2,SWISU,1Story
287,128000,yes,6,1647,806,6858,1915,1,4,SWISU,2Story
288,58500,yes,3,864,864,8212,1914,1,2,Edwards,1Story
289,127000,yes,5,1691,1026,5000,1924,2,3,SWISU,1.5Fin
290,126000,yes,6,856,856,7890,1939,1,2,SWISU,1Story
291,160000,no,4,2650,0,7200,1967,3,6,SWISU,2Story
292,100000,no,5,1666,894,9839,1931,1,3,SWISU,1.5Fin
293,169000,yes,6,2447,804,9638,1919,2,4,SWISU,1.5Fin
294,257500,yes,7,2133,1528,10452,1941,1,4,Crawfor,1.5Fin
295,215000,yes,5,2177,1032,15600,1950,2,5,Crawfor,2Story
296,266500,yes,7,2340,1152,9042,1941,2,4,Crawfor,2Story
297,335000,yes,7,1902,1902,17500,1959,2,3,Crawfor,1Story
298,203135,yes,7,1652,423,19645,1994,2,3,Crawfor,SLvl
299,185000,yes,8,1034,982,3907,1989,1,1,Blueste,1Story
300,162500,yes,8,1191,1191,3907,1989,2,2,Blueste,1Story
301,289000,yes,7,1801,1501,15602,1959,2,1,Crawfor,1Story
302,125500,yes,4,1154,796,5436,1922,1,3,IDOTRR,1.5Fin
303,82000,yes,2,540,480,8154,1941,1,1,IDOTRR,1Story
304,110000,yes,6,1107,629,9140,1921,1,2,IDOTRR,1.5Fin
305,68400,yes,4,1128,698,7500,1920,1,2,IDOTRR,1.5Fin
306,102776,yes,4,1178,859,8712,1900,1,2,IDOTRR,1.5Fin
307,55993,yes,5,1044,540,8712,1952,1,2,IDOTRR,1Story
308,50138,yes,4,952,756,8712,1896,1,3,IDOTRR,1Story
309,246000,yes,8,1646,1594,3811,2004,2,2,Crawfor,1Story
310,254900,yes,8,1916,1049,11050,1998,2,3,Mitchel,2Story
311,190000,yes,6,1285,1243,9620,1977,2,3,Mitchel,SLvl
312,201000,yes,7,1560,1560,9196,2003,2,3,Mitchel,1Story
313,169900,yes,6,1034,1012,12328,1976,1,3,Mitchel,SLvl
314,170000,yes,6,2048,1958,12760,1976,3,5,Mitchel,1Story
315,160000,yes,5,1687,747,57200,1948,1,3,Timber,1Story
316,220000,yes,7,1346,1336,11896,2008,2,3,Timber,1Story
317,179781,yes,7,1214,1214,9803,2009,2,2,Timber,1Story
318,174000,yes,5,1444,384,9802,2006,2,3,Timber,2Story
319,269500,yes,8,1968,774,12003,2009,2,4,Timber,2Story
320,214900,yes,7,1894,817,11316,2002,2,4,Timber,2Story
321,202900,yes,8,1908,967,14191,2002,2,4,Timber,2Story
322,378500,yes,9,2018,2002,13214,2008,2,3,Timber,1Story
323,169000,yes,5,1264,1068,15300,1965,1,2,Mitchel,1Story
324,173500,yes,5,1430,1430,10114,2004,2,3,Mitchel,1Story
325,139000,no,6,1824,912,9400,1971,2,4,Mitchel,2Story
326,166500,yes,5,1344,1344,11875,1999,2,3,Mitchel,1Story
327,83500,yes,4,1092,546,1974,1973,1,3,MeadowV,2Story
328,119500,yes,5,945,945,2394,1973,1,2,MeadowV,1Story
329,85000,yes,5,1112,536,2592,1976,1,3,MeadowV,2Story
330,76000,no,4,1092,546,1476,1970,1,3,MeadowV,2Story
331,75500,no,4,630,630,1491,1972,1,1,MeadowV,SFoyer
332,88250,no,4,1092,546,1900,1970,1,3,MeadowV,2Story
333,85500,yes,4,1092,546,1890,1972,1,3,MeadowV,2Story
334,130000,yes,5,874,864,6953,1971,1,3,Mitchel,1Story
335,157900,yes,5,1188,1188,26142,1962,1,3,Mitchel,1Story
336,149900,yes,5,833,833,12887,1984,1,2,Mitchel,1Story
337,159000,yes,5,2432,1216,7700,1985,4,4,Mitchel,2Story
338,136000,yes,5,1274,624,10475,1991,1,3,Mitchel,2Story
339,161000,yes,5,1479,864,10544,1969,2,5,Mitchel,1.5Fin
340,285000,yes,8,1803,1679,9892,1994,2,3,Mitchel,1Story
341,231000,yes,6,1797,1152,12961,1993,2,3,Mitchel,2Story
342,124500,yes,6,882,882,13008,1956,1,2,NAmes,1Story
343,157000,yes,6,1434,1434,10200,1974,2,4,NAmes,1Story
344,345000,yes,8,2704,1952,13860,1972,2,4,NAmes,SLvl
345,189500,yes,6,1608,945,10179,1997,2,3,Gilbert,2Story
346,270000,yes,8,2283,1008,11792,2003,2,4,Gilbert,2Story
347,189000,yes,7,1628,384,8400,1996,2,3,Gilbert,SLvl
348,377500,yes,9,1746,1746,14892,2006,2,3,Gilbert,1Story
349,168500,yes,7,1474,384,8530,1995,2,3,Gilbert,SLvl
350,375000,yes,8,2522,2208,7296,2004,2,1,StoneBr,1Story
351,278000,yes,8,1659,1501,5664,2000,2,2,StoneBr,1Story
352,240000,yes,8,1478,1418,7380,1998,2,2,StoneBr,1Story
353,239500,yes,8,1734,1587,8013,1995,2,2,StoneBr,1Story
354,177500,yes,7,1382,384,8923,1998,2,3,Gilbert,SLvl
355,185000,yes,7,1718,832,10141,1998,2,3,Gilbert,2Story
356,191000,yes,6,1636,952,7500,1998,2,3,Gilbert,2Story
357,178000,yes,6,1571,799,7837,1993,2,3,Gilbert,2Story
358,185000,yes,6,1470,680,9765,1993,2,3,Gilbert,2Story
359,181316,yes,6,1516,707,8803,1994,2,3,Gilbert,2Story
360,166000,yes,6,1190,1181,7250,1993,2,3,Gilbert,1Story
361,178000,yes,6,1593,808,9636,1992,2,3,Gilbert,2Story
362,174000,yes,6,1481,702,8125,1994,2,3,Gilbert,2Story
363,173000,yes,6,1167,1158,9248,1992,2,3,Gilbert,1Story
364,225000,yes,7,1983,978,10762,1999,2,3,Gilbert,2Story
365,180500,yes,7,1442,1424,11851,1990,2,3,Gilbert,1Story
366,187500,yes,8,1360,1220,5814,1984,1,1,StoneBr,1Story
367,501837,yes,9,2234,2216,17423,2008,2,1,StoneBr,1Story
368,372500,yes,8,2046,2046,11844,2008,2,3,StoneBr,1Story
369,260000,yes,7,1530,1530,16158,2005,2,3,StoneBr,1Story
370,185000,yes,5,1934,1122,11900,1977,2,3,Gilbert,2Story
371,260000,yes,7,2353,845,13005,1980,2,4,NWAmes,2Story
372,181000,yes,6,1586,1362,17043,1979,2,3,NWAmes,1Story
373,82500,yes,7,1411,1386,11900,1977,2,3,NWAmes,1Story
374,215000,yes,6,1602,1602,16635,1977,2,3,NWAmes,1Story
375,154000,yes,7,2050,832,13250,1978,2,4,NWAmes,2Story
376,200000,yes,6,1671,1427,10928,1978,2,3,NWAmes,1Story
377,249000,yes,7,2673,1043,12388,1980,2,4,NWAmes,2Story
378,187500,yes,7,1472,1372,14115,1980,2,3,NWAmes,SLvl
379,184000,yes,6,1707,1140,11088,1978,2,3,NWAmes,1Story
380,278000,yes,8,2524,2524,9600,1981,2,4,NWAmes,1Story
381,157000,yes,7,1601,1271,11880,1978,2,3,NWAmes,1Story
382,152000,yes,7,1370,1090,10400,1976,2,3,NWAmes,1Story
383,197500,yes,5,1868,780,10304,1976,2,4,NWAmes,2Story
384,240900,yes,7,1884,926,7000,2003,2,3,Somerst,2Story
385,263435,yes,8,1935,832,8004,2009,2,3,Somerst,2Story
386,220000,yes,8,1874,1058,7500,2000,2,3,Somerst,2Story
387,235000,yes,8,1811,972,8470,2002,2,3,Somerst,2Story
388,213000,yes,5,1621,1621,9373,1975,2,3,NWAmes,1Story
389,167900,yes,6,1116,1116,10140,1974,2,3,NWAmes,1Story
390,158000,yes,7,1193,1176,11050,1975,2,3,NWAmes,1Story
391,165000,yes,6,1350,1064,10140,1974,2,3,NWAmes,1Story
